imdb_id,movie_id,first_name,last_name,persona,movie_title,movie_release_year
0001673,0064116,Jason,Robards,Manuel 'Cheyenne' Gutiérrez,Once Upon a Time in the West,1968
0001744,0120815,Tom,Sizemore,Sergeant Horvath,Saving Private Ryan,1998
0001812,0060196,Lee,Cleef,Sentenza / Angel Eyes,"The Good, the Bad and the Ugly",1966
0001825,0114369,Andrew,Walker,Dead Man at 1st Crime Scene,Se7en,1995
0002011,0050083,Lee,Cobb,Juror 3,12 Angry Men,1957
0002104,0027977,Paulette,Goddard,A Gamin,Modern Times,1936
0002134,0034583,Paul,Henreid,Victor Laszlo,Casablanca,1942
0004778,0253474,Adrien,Brody,Wladyslaw Szpilman,The Pianist,2002
0005132,0468569,Heath,Ledger,Joker,The Dark Knight,2008
0005251,0133093,Carrie-Anne,Moss,Trinity,The Matrix,1999
0021600,0167261,Bruce,Allpress,Aldor,The Lord of the Rings: The Two Towers,2002
0032370,0167260,Noel,Appleby,Everard Proudfoot,The Lord of the Rings: The Return of the King,2003
0032370,0120737,Noel,Appleby,Everard Proudfoot,The Lord of the Rings: The Fellowship of the Ring,2001
0040012,0167260,Ali,Astin,Elanor Gamgee,The Lord of the Rings: The Return of the King,2003
0041066,0095765,Antonella,Attili,Maria Di Vita - Younger,Cinema Paradiso,1988
0045324,0167261,John,Bach,Madril,The Lord of the Rings: The Two Towers,2002
0074788,0027977,Henry,Bergman,Cafe Proprietor,Modern Times,1936
0077720,0073486,Michael,Berryman,Ellis,One Flew Over the Cuckoo's Nest,1975
0110480,0073486,Peter,Brocco,Col. Matterson,One Flew Over the Cuckoo's Nest,1975
0111954,0073486,Dean,Brooks,Dr. Spivey,One Flew Over the Cuckoo's Nest,1975
0122653,0120815,Edward,Burns,Private Reiben,Saving Private Ryan,1998
0129295,0110357,Niketa,Calame-Harris,Young Nala,The Lion King,1994
0134073,0095765,Enzo,Cannavale,Spaccafico,Cinema Paradiso,1988
0134493,0118799,Giorgio,Cantarini,Giosué,Life Is Beautiful,1997
0167388,1675434,François,Cluzet,Philippe,The Intouchables,2011
0199774,0095765,Isa,Danieli,Anna,Cinema Paradiso,1988
0275835,0050083,John,Fiedler,Juror 2,12 Angry Men,1957
0288976,0253474,Emilia,Fox,Dorota,The Pianist,2002
0330687,1375666,Joseph,Gordon-Levitt,Arthur,Inception,2010
0348409,0111161,Bob,Gunton,Warden Norton,The Shawshank Redemption,1994
0383708,0245429,Rumi,Hiiragi,Chihiro Ogino / Sen,Spirited Away,2001
0397102,0120737,Alan,Howard,Voice of the Ring,The Lord of the Rings: The Fellowship of the Ring,2001
0410968,0056058,Akira,Ishihama,Motome Chijiiwa,Harakiri,1962
0412615,0056058,Shima,Iwashita,Miho Tsugumo,Harakiri,1962
0413168,0482571,Hugh,Jackman,Robert Angier,The Prestige,2006
0494504,1675434,Anne,Ny,Yvonne,The Intouchables,2011
0522503,0110912,Laura,Lovelace,Waitress,Pulp Fiction,1994
0587256,0054215,Vera,Miles,Lila Crane,Psycho,1960
0619938,0056058,Tatsuya,Nakadai,Hanshiro Tsugumo,Harakiri,1962
0622412,0245429,Mari,Natsuki,Yubaba / Zeniba,Spirited Away,2001
0669254,0114369,Daniel,Zacapa,Detective Taylor at First Murder,Se7en,1995
0680983,1375666,Elliot,Page,Ariadne,Inception,2010
0793766,0047478,Takashi,Shimura,Kambei Shimada,Seven Samurai,1954
0794002,0095327,Yoshiko,Shinohara,Mother,Grave of the Fireflies,1988
0794186,0095327,Ayano,Shiraishi,Setsuko,Grave of the Fireflies,1988
0799777,2582802,J.K.,Simmons,Fletcher,Whiplash,2014
0814280,6751668,Song,Kang-ho,Ki Taek,Parasite,2019
0851302,0095327,Tsutomu,Tatsumi,Seita,Grave of the Fireflies,1988
0875477,0047478,Keiko,Tsushima,Shino,Seven Samurai,1954
0908919,0060196,Eli,Wallach,Tuco,"The Good, the Bad and the Ugly",1966
0931508,0109830,Rebecca,Williams,Nurse at Park Bench,Forrest Gump,1994
0954076,0253474,Michal,Zebrowski,Jurek,The Pianist,2002
0997115,0245429,Miyu,Irino,Haku,Spirited Away,2001
1082477,1675434,Omar,Sy,Driss,The Intouchables,2011
1129884,0317248,Leandro,Firmino,Zé Pequeno - Li'l Zé,City of God,2002
1179105,0317248,Alexandre,Rodrigues,Buscapé - Rocket,City of God,2002
1249574,0317248,Phellipe,Haagensen,Bené - Benny,City of God,2002
1310525,6751668,Lee,Sun-kyun,Dong Ik,Parasite,2019
1856097,6751668,Cho,Yeo-jeong,Yeon Kyo,Parasite,2019
1886602,2582802,Miles,Teller,Andrew,Whiplash,2014
2794962,9362722,Hailee,Steinfeld,Gwen Stacy,Spider-Man: Across the Spider-Verse,2023
3109964,9362722,Brian,Henry,Jeff Morales,Spider-Man: Across the Spider-Verse,2023
3237775,0816692,Mackenzie,Foy,Murph,Interstellar,2014
4271336,9362722,Shameik,Moore,Miles Morales,Spider-Man: Across the Spider-Verse,2023
